name	street_address	postal_code	opening_date	latitude	longitude
300 NORTH OPDYKE	300 NORTH OPDYKE	48326	1996 	42.6611	-83.2457
5033 TRANSIT ROAD	5033 TRANSIT ROAD	14031	1996 	42.9816	-78.6148
20910 FREDERICK ROAD	20910 FREDERICK ROAD	20876	1996 	39.1918	-77.2433
4572 MEGA STREET NORTHWEST	4572 MEGA STREET NORTHWEST	44720	1996 	40.8884	-81.4107
1470 S WASHINGTON ST	1470 S WASHINGTON ST	02760	1996 	41.9735	-71.3296
760 HOOSICK ROAD	760 HOOSICK ROAD	12180	1996 	42.7316	-73.6646
844 NO. COLONY ROAD	844 NO. COLONY ROAD	06492	1996 	41.4603	-72.8183
840 POST ROAD	840 POST ROAD	02888	1996 	41.7489	-71.4091
85 RIVER TRACE LANE	85 RIVER TRACE LANE	45601	1996 	39.3305	-82.9723
1600 S MOUNTAIN AVENUE	1600 S MOUNTAIN AVENUE	91010	1996 	34.1377	-117.966
100 SARA WAY/ROSTRAVER SQUARE	100 SARA WAY/ROSTRAVER SQUARE	15012	1996 	40.1402	-79.8425
1320 LIBERTY ROAD	1320 LIBERTY ROAD	21784	1996 	39.3967	-76.965
210 WAL-MART PLAZA	210 WAL-MART PLAZA	28779	1996 	35.3727	-83.2077
2024 GENESEE STREET	2024 GENESEE STREET	13421	1996 	43.0796	-75.6468
1515 BETHLEHEM PIKE	1515 BETHLEHEM PIKE	19440	1996 	40.2783	-75.2948
4420 MERIDIAN ST	4420 MERIDIAN ST	98226	1996 	48.7591	-122.436
2333 RENO HIGHWAY	2333 RENO HIGHWAY	89406	1996 	39.4611	-118.693
701 SMELTER AVE N.E.	701 SMELTER AVE N.E.	59404	1996 	47.5143	-111.345
3715 OCEAN BEACH HWY	3715 OCEAN BEACH HWY	98632	1996 	46.1561	-122.98
